Items,PurQTY,PurVALUE,SalesQTY,SalesVALUE,ClosQTY,CloVALUE,M.EXP,OpenQTY,OpenVALUE,RecQTY,RecVALUE,SalesDate
DORSUN-T EYE DROPS 5ML,376,56076.64,271,39658.71,105,15659.7,24-Oct,45,6711.3,331,49365.34,2023-12-16
DOTAMIN INJ 5ML,600,26244,510,31254.99,90,3936.6,24-Apr,35,1530.9,565,24713.1,2022-12-09
DOTHIN 25MG TAB 10S,1380,33713.4,1105,25023.08,275,6718.25,26-Jan,417,10187.31,963,23526.09,2023-03-08
DOTHIN 75MG TAB 10S,57,3737.83,32,1855.58,25,1639.4,24-Jan,15,983.64,42,2754.19,2022-07-28
DOTHIP 25MG TAB 10S,6,247.74,6,309.64,0,0,0,0,0,6,247.74,2023-03-20
DOX-100MG TAB 8S,1282,37178,1282,35011.7,0,0,0,1282,37178,0,0,2023-11-20
DOXEBET TAB 10MG 10S,300,12055.5,131,5903.59,169,7545.85,24-Feb,0,0,300,12055.5,2022-04-28
DOXELBEE CAPS 10S,1600,16000,1600,40505.5,0,0,0,100,1000,1500,15000,2022-06-07
DOXICID TAB 10S,100,2479.5,100,2850,0,0,0,0,0,100,2479.5,2022-08-05
DOXIFIC 100MG INJ 1S,4056,221254.8,3486,711914.1,570,31093.5,23-Mar,136,7418.8,3920,213836,2022-11-18
DOXIFIC PLUS 100MG 1 VIAL,664,36221.2,653,78495.4,11,600.05,23-Nov,60,3273,604,32948.2,2022-07-28
DOXIFLO M CAP 10S,2,265.72,2,266,0,0,0,0,0,2,265.72,2023-11-04
DOXILAC-LB TAB 10S,4,92.4,4,240,0,0,0,4,92.4,0,0,2022-11-29
DOXIMYCIN TAB 10S,24,780,24,5668.75,0,0,0,24,780,0,0,2022-01-22
DOXIVENT-LB TAB 10S,21,1008,21,1585,0,0,0,21,1008,0,0,2022-04-06
DOXIVOM PLUS TAB 15S,1,9.08,1,0,0,0,0,1,9.08,0,0,2023-03-14
DOXOFYL-400 TAB 10S,450,9439.5,325,7921.6,125,2906.25,25-Jun,10,232.5,440,9207,2023-06-21
DOXOHIGH-M TAB 10S,300,13200,250,12000,50,2200,24-Feb,0,0,300,13200,2022-12-26
DOXYCEN TAB 8S,9158,283898,9158,290782.15,0,0,0,9148,283588,10,310,2023-05-30
DOXYCYCLINE-100MG CAP 100S,38,7220,-9,0,47,8930,23-Aug,38,7220,0,0,2022-08-27
DOXYNEXT-LB TAB 10S,79,2133,79,6022.7,0,0,0,29,783,50,1350,2023-07-09
DOXYROM LB-100MG TAB 10S,171,6771.6,75,4687,96,3801.6,23-Apr,171,6771.6,0,0,2023-01-28
DOXYSCOT CAP 10S,2,30.3,2,0,0,0,0,2,30.3,0,0,2022-12-06
DOXYSCOT-LB CAPS 10S,92,2760,13,873,79,2370,25-Oct,0,0,92,2760,2023-05-22
DOXYTOP CAP 10S,10,118,10,150,0,0,0,0,0,10,118,2023-01-09
DR.ARSH OINT 20GM,51,1045.5,0,0,51,1045.5,23-Nov,51,1045.5,0,0,2022-01-10
DR.SPAS INJ 2ML,1100,2750,1100,5460.72,0,0,0,100,250,1000,2500,2022-02-14
DRESSING PAD 7.5CM*5CM 5S,25,687.5,25,2000,0,0,0,0,0,25,687.5,2023-01-10
DRIFAX-400MG TAB(ALU) 10S,150,13500,150,4083.2,0,0,0,150,13500,0,0,2023-12-13
DRIFAX-550 TAB 10S,30,3375,24,3430,6,675,24-Apr,0,0,30,3375,2023-09-02
DROJUST INJ 2ML,2055,9247.5,1789,10279.55,266,1197,24-May,0,0,2055,9247.5,2023-03-14
DROTEXT-M TAB 10S,50,825,30,1406.25,20,330,24-Sep,0,0,50,825,2022-09-23
DROTIN INJ 2ML 2ML,50,1013,50,1266.07,0,0,0,50,1013,0,0,2023-03-08
DROTIPHAR-M TAB 10S,19,253.27,19,390.25,0,0,0,19,253.27,0,0,2022-02-11
DROXYL-500MG TAB 10S,10,319.1,10,352,0,0,0,0,0,10,319.1,2023-10-24
DROZIN SYP 100ML,50,825,11,274.5,39,643.5,24-Jul,0,0,50,825,2022-10-15
DROZINE-10 TAB 10S,522,2296.8,333,2796.12,189,831.6,23-Nov,132,580.8,390,1716,2022-07-01
DROZINE-25 TAB 10S,1761,14140.83,1538,29958.5,223,1790.69,24-May,162,1300.86,1599,12839.97,2022-07-22
DRU EYE DROPS 10ML,0,0,0,0,0,0,0,16,1594.24,-16,-1594.24,2022-08-11
DSERIN CAP 10S,230,8970,230,5152,0,0,0,0,0,230,8970,2022-01-30
DTM-90SR TAB 10S,60,816,0,0,60,816,24-Jan,0,0,60,816,2022-12-20
DUBAMOL 650 TAB 10S,5870,53417,5718,65842.38,152,1383.2,0,2000,18200,3870,35217,2022-07-12
DUBAMOL DS SYP 60ML,2840,29820,2151,40114.39,689,7234.5,24-May,0,0,2840,29820,2023-12-27
DUBAMOL IV SYP 100ML,1,24.68,1,0,0,0,0,1,24.68,0,0,2022-10-28
DUBAMOL-125MG/5ML SYP 60ML.,4300,42355,3788,56242.71,512,5043.2,24-Sep,0,0,4300,42355,2022-04-10
DUBAMOL-500MG TAB 10S,6960,53592,6169,55505.57,791,6090.7,24-Apr,6900,53130,60,462,2023-04-04
DULAX TAB 10S,1554,6638.94,1465,10292.06,89,426.31,24-Jun,0,0,1554,6638.94,2023-05-31
DULCOFLEX ADL SUPP 5S,7,925.26,7,925.26,0,0,0,0,0,7,925.26,2023-06-28
DUOBIOTIC CAPS 10S,24,510,24,583.5,0,0,0,24,510,0,0,2023-11-23
DUOLIN FORTE ROTACAPS 30S,5,588.95,5,580,0,0,0,0,0,5,588.95,2022-01-11
DUOLIN INH CFC FREE 200MD,13,3484.39,13,3473.58,0,0,0,0,0,13,3484.39,2023-03-01
DUOLIN RESPULES-2.5ML 5S.,12,824.88,12,1104.64,0,0,0,0,0,12,824.88,2022-07-03
DUOLIN ROTACAPS 30S,3,384.03,3,389,0,0,0,0,0,3,384.03,2022-11-07
DUOLIN-3 RESPULES 3ML,350,4846.17,350,6209.69,0,0,0,0,0,350,4846.17,2022-01-07
DUONEM ER-300MG TAB 6S,1,996.5,1,997,0,0,0,0,0,1,996.5,2023-10-23
DUOPHYLLINE INJ-2ML 1S,320,768,320,1534.4,0,0,0,320,768,0,0,2022-08-13
DUOSALIC 20GM 20GM,20,316.6,20,380,0,0,0,20,316.6,0,0,2023-09-14
DUOVA INHALER 1,2,995.72,2,1244.66,0,0,0,0,0,2,995.72,2023-05-14
DUPHALAC SYP 150ML,0,0,0,0,0,0,0,0,0,0,0,2022-11-17
DUPHASTON-10MG TAB 10S,17,9160.28,17,9066.03,0,0,0,0,0,17,9160.28,2022-12-28
DUPRESS TAB 10S,78,2152.8,24,857.14,54,1490.4,23-Nov,26,717.6,52,1435.2,2022-02-14
DURADEC-50 1ML,12,169.2,6,109.5,6,84.6,24-Jun,12,169.2,0,0,2022-07-12
DUSTBIN FOOT OPERATED(G-R-Y)B 1SET,5,17400,5,34200,0,0,0,0,0,5,17400,2023-11-30
DUSTBIN FOOT OPERATED(R-Y-G)1 1SET,1,1110,1,1960,0,0,0,0,0,1,1110,2022-05-17
DUTASTAY-0.5 TAB 10S,710,5325,700,6790,10,75,24-May,0,0,710,5325,2023-05-27
DXT-20 TAB 10S,50,1928.5,0,0,50,1928.5,23-Sep,30,1157.1,20,771.4,2022-07-11
DXT-30 TAB 10S,0,0,0,0,0,0,0,60,2970,-60,-2970,2023-01-17
DYDROCARE-10MG TAB 10S,250,70000,250,95012,0,0,0,0,0,250,70000,2023-05-18
DYDROLADY TAB 10S,2,614.28,2,678.2,0,0,0,0,0,2,614.28,2022-05-01
DYNAGLIPT-M TAB 10S,48,3140,48,3837.48,0,0,0,0,0,48,3140,2022-07-18
DYNALID 100 TAB(UNIMAX) 10S,0,0,0,59.4,0,0,0,0,0,0,0,2023-08-21
DYNAPAR AQ INJ 1ML,6,143.4,6,136.92,0,0,0,6,143.4,0,0,2023-08-25
DYNAPAR QPS PLUS-30ML 1S,2,427.14,2,533.93,0,0,0,0,0,2,427.14,2023-04-24
DYNAPAR TAB 10S,12,911.52,12,684,0,0,0,0,0,12,911.52,2023-06-10
DYNASYNTH 2-0 90CM DS2317 1S,20,1967,20,2900,0,0,0,0,0,20,1967,2022-03-01
DYTOR 5MG TAB 15S,89,3769.15,89,4999.34,0,0,0,0,0,89,3769.15,2023-03-09
DYTOR PLUS 10MG TAB 15S,18,1148.22,18,1268.06,0,0,0,0,0,18,1148.22,2022-12-10
DYTOR PLUS 20MG 15S,28,2327.64,15,1325.17,13,1080.69,23-Nov,0,0,28,2327.64,2023-05-04
DYTOR PLUS 5MG TAB 15S,3,169.38,3,211.58,0,0,0,0,0,3,169.38,2022-06-08
DYTOR PLUS LS 15S,19,772.16,19,881.86,0,0,0,0,0,19,772.16,2022-05-08
DYTOR PLUS LS TAB 10S,11,447.04,11,497.73,0,0,0,0,0,11,447.04,2023-09-23
DYTOR PLUS-10 15S,20,1275.8,20,1327.97,0,0,0,2,127.58,18,1148.22,2022-09-23
DYTOR-10 TAB 15S,111,6731.04,111,6564.75,0,0,0,0,0,111,6731.04,2023-01-15
DYTOR-100 TAB 10S,26,7803.38,26,9363.43,0,0,0,6,1800.78,20,6002.6,2022-07-09
DYTOR-20MG TAB 15S,39,4669.47,39,4412.1,0,0,0,39,4669.47,0,0,2023-08-04
E-AMOX CL 625 10S,187,11313.5,162,22260,25,1512.5,23-Sep,87,5263.5,100,6050,2022-11-10
E-BEND-PLUS SYP 10ML,113,1367.3,112,2175.23,1,12.1,23-Aug,63,762.3,50,605,2023-01-19
E-CAL SUSP 200ML 200ML,60,1419,60,2623,0,0,0,60,1419,0,0,2023-12-14
E-CAL-D3 SACHET 1GM,13893,57378.09,12902,94559.7,991,4092.83,24-Mar,754,3114.02,13139,54264.07,2023-10-13
E-COB-PLUS INJ 2ML,3017,31527.65,2914,144251.25,103,1076.35,24-Jul,367,3835.15,2650,27692.5,2023-10-25
E-DILAN SR TAB 10S,10,170.5,0,0,10,170.5,23-May,0,0,10,170.5,2023-02-13
E-FEN TAB 10S,202,1054.44,202,1161,0,0,0,200,1044,2,10.44,2023-11-16
E-FIX 100DT TAB 10S,168,3973.2,112,4853.2,56,1324.4,24-Jul,68,1608.2,100,2365,2023-04-08
E-FIX 200 TAB ZOTA 10S,97,3841.2,52,3607.7,45,1782,24-Aug,27,1069.2,70,2772,2022-06-09
E-FLO EYE DROPS 5ML,0,0,0,0,0,0,0,25,1919.5,-25,-1919.5,2022-11-03
E-FLO EYE OINTMENT 5GM,9,848.34,9,942.6,0,0,0,26,2450.76,-17,-1602.42,2023-08-12
E-ON-MD TAB 10S,497,3826.9,366,7043.8,131,1008.7,24-Apr,67,515.9,430,3311,2022-12-01
E-PANTO 40 TAB 10S,136,1196.8,71,3104.4,65,572,23-May,136,1196.8,0,0,2023-07-27
E-PANTO D TAB 10S,332,2831.96,270,7690.74,62,528.86,23-Aug,170,1450.1,162,1381.86,2023-01-15
E-PANTO DSR TAB (ALU-ALU) 10S,228,3260.4,228,12521.5,0,0,0,128,1830.4,100,1430,2023-02-09
E-TEARS EYE DROPS 10ML,924,10930.92,815,49100.98,109,1289.47,24-Apr,42,496.86,882,10434.06,2022-01-13
E.T TUBE 6.0 CUFF 1S,5,264,5,475,0,0,0,0,0,5,264,2023-11-21
E.T TUBE 6.5 CUFF 1S,5,252,5,475,0,0,0,0,0,5,252,2022-01-24
E.T TUBE 7.0 CUFF 1S,10,528,10,1350,0,0,0,0,0,10,528,2023-08-15
EAR BUD COTTON SWAB(PLASTIC) 100S,58,1425.06,58,1711.09,0,0,0,58,1425.06,0,0,2022-09-11
EAR BUD COTTON SWAB(WOODEN) 100S,60,1779.6,53,1919.87,7,207.62,0,60,1779.6,0,0,2023-03-29
EASIFRESH E/D 10ML,1,64.29,0,0,1,64.29,22-Apr,1,64.29,0,0,2022-10-07
EASIGEL 10GM,0,0,-3,0,3,559.32,22-Feb,0,0,0,0,2023-06-10
EASY FIX 1S,200,1178,200,2400,0,0,0,0,0,200,1178,2023-05-18
EASYFIVE-TT PFS INJ 1S,5,1523.8,5,1828.5,0,0,0,0,0,5,1523.8,2022-01-03
EBAST 10MG TAB 10S,6,454.26,6,567.86,0,0,0,0,0,6,454.26,2023-04-25
EBERGEM CREAM 15GM,55,2480.5,27,1587.45,28,1262.8,23-Nov,55,2480.5,0,0,2022-07-01
ECG GEL-BLUE 250ML,150,1800,150,3052.68,0,0,0,0,0,150,1800,2022-12-07
ECG ROLL 6208 VIEW 1S,30,1950,30,3000,0,0,0,0,0,30,1950,2023-04-27
ECO HYGIENE SKIN ANTISEPTIC 10S,10,330,10,570,0,0,0,0,0,10,330,2022-06-07
ECOLATE TAB 10S,1082,8536.98,927,23186.25,155,1222.95,24-Mar,447,3526.83,635,5010.15,2023-07-13
ECOSPRIN AV 150/20 TAB 10S,7,227.08,6,177.06,1,32.44,24-May,0,0,7,227.08,2023-01-13
ECOSPRIN AV 75/20MG CAP 10S,7,187.74,6,173.57,1,26.82,23-Apr,7,187.74,0,0,2022-12-20
ECOSPRIN GOLD 10MG CAP 15S,46,3743.48,46,3510.78,0,0,0,0,0,46,3743.48,2023-07-29
ECOSPRIN GOLD-20MG CAP 15S,6,724.5,6,692.7,0,0,0,0,0,6,724.5,2022-01-07
ECOSPRIN-150MG TAB 14S,2315,17362.5,2302,17770.92,13,97.5,24-Nov,75,562.5,2240,16800,2022-04-09
ECOSPRIN-75MG TAB 14S,7374,30233.4,7259,30870.58,115,471.5,24-Feb,22,90.2,7352,30143.2,2023-11-24
ECOSPRIN-AV 150MG CAP 15S,19,796.1,19,931.76,0,0,0,0,0,19,796.1,2023-11-23
ECOSPRIN-AV 75 TAB 15S,46,2092.54,42,1874.42,4,181.96,24-May,1,45.49,45,2047.05,2023-11-20
EDTA BLUE TUBES 1S,200,256,200,332,0,0,0,0,0,200,256,2022-07-04
EDTA TUBES-RED 1S,2000,2560,2000,3800,0,0,0,0,0,2000,2560,2022-08-22
EFIPRESS INJ 1ML,242,5706.36,160,4043.98,82,1933.56,23-Sep,35,825.3,207,4881.06,2022-01-03
EFOSPAR 200 TAB 6S,704,28512,700,19620,4,162,23-May,0,0,704,28512,2022-03-14
EFOXIM 100DT TAB 10S,455,17214.1,195,6603,260,11330.8,24-Jul,70,3050.6,385,14163.5,2023-04-01
EFOXIM-200 TAB 10S,665,37981.9,394,23306.52,271,17013.38,24-Jan,15,941.7,650,37040.2,2023-01-21
EFOXIM-O TAB 10S,60,6557.4,0,0,60,6557.4,24-Jul,53,5792.37,7,765.03,2022-11-22
EGLOW-400 CAP 10S,120,2766,112,3267.15,8,184.4,23-Aug,0,0,120,2766,2023-06-03
ELA CREAM 200MG,15,660,3,2294.64,12,528,24-Jun,15,660,0,0,2022-09-25
ELA CREAM ZEE 50GM,4842,117176.4,4669,237877.63,173,4186.6,24-Dec,692,16746.4,4150,100430,2022-12-18
ELA SOAP ZEE 75GM,3370,66726,3118,147202.58,252,4989.6,25-May,476,9424.8,2894,57301.2,2022-01-31
ELCO-Q TAB 10S,470,10340,420,12525.48,50,1100,24-Jul,40,880,430,9460,2023-11-10
ELDERVIT B12 INJ 2*1.5ML,2211,13266,1219,14319.35,992,5952,24-Jan,2205,13230,6,36,2023-01-04
ELECTRONIC SCALE-EEP1006A(PER 1S,7,4550,7,9830,0,0,0,0,0,7,4550,2023-12-30
ELECTROSCOT SACHET 21.5GM,4926,20437.08,4924,30185.99,2,8.76,24-Dec,2266,9925.08,2660,10512,2023-09-29
ELMECOB-D TAB 10S,2,274.28,2,274.28,0,0,0,0,0,2,274.28,2022-10-01
ELOCON CREAM 10GM,1,180,1,223.21,0,0,0,0,0,1,180,2023-07-30
ELOCORT OINT 10GM,178,2426.14,130,2064.45,48,654.24,24-Dec,34,463.42,144,1962.72,2022-10-10
ELTEGRA 180 TAB 10S,224,5892.34,127,4563.1,97,2829.49,24-Jul,3,87.51,221,5804.83,2022-12-06
ELTEGRA-120 TAB 10S,193,4181.41,141,2924.3,52,1256.84,23-Apr,83,2006.11,110,2175.3,2023-05-06
ELTROXIN 100MG TAB 120S,5,634.1,5,609.82,0,0,0,0,0,5,634.1,2022-03-31
ELTROXIN-25 TAB 60S,10,1238.4,0,0,10,1238.4,23-Sep,0,0,10,1238.4,2023-01-19
ELWIMOX-125 DT TAB 10S,360,3222,342,7064.96,18,161.1,24-Jun,60,537,300,2685,2022-01-27
EMENORM 10MG TAB 10S,290,942.5,81,480.21,209,679.25,23-Aug,290,942.5,0,0,2023-02-06
EMENORM INJ 2ML,2969,8758.55,2435,8804.31,534,1575.3,23-May,1319,3891.05,1650,4867.5,2023-06-05
EMOLENE CREAM 100GM,22,4950,22,4841.58,0,0,0,0,0,22,4950,2022-02-07
EMPTY STERILE DRAIN BAG-3LTR 1S,30,2490,30,2674.2,0,0,0,0,0,30,2490,2023-03-15
EN-DOR EYE DROPS 5ML,0,0,0,0,0,0,0,13,2985.32,-13,-2985.32,2022-12-16
ENACARE-5 TAB 10S,726,2904,48,274.8,678,2712,23-Nov,20,80,706,2824,2022-12-25
ENALROS-10MG TAB 10S,80,1080,24,136.47,56,756,25-Apr,0,0,80,1080,2022-04-25
ENCORATE CHRONO 600MG 10S,25,2714.25,25,3374.11,0,0,0,6,651.42,19,2062.83,2022-12-16
ENCORATE CHRONO-300MG 10S,12,670.2,12,696,0,0,0,0,0,12,670.2,2023-10-20
ENDOBLOC T KIT TAB 10S,1,1495.56,1,1498,0,0,0,0,0,1,1495.56,2023-01-21
ENEMA BP PROCTOCLYSIS 100ML,298,3346.54,297,12941.96,1,11.23,23-Jul,81,909.63,217,2436.91,2022-04-30
ENERVIT CAP 10S,1527,7787.7,1026,7263.9,501,2555.1,24-Jan,6,30.6,1521,7757.1,2023-09-15
ENEX PLUS CAP 10S,672,16632,571,37885.21,101,2499.75,25-May,62,1534.5,610,15097.5,2022-02-26
ENIXERIN-60 INJ AMP,692,251196,12,5138.97,680,246840,23-Apr,684,248292,8,2904,2023-07-24
ENMOS LOTION 100ML,3248,160776,2778,326999.18,470,23265,24-Mar,208,10296,3040,150480,2022-01-09
ENMOS SOAP 75GM,20,704,20,1650.7,0,0,0,20,704,0,0,2023-02-02
ENO REGULAR SACHET 5GM,210,1476.3,210,1497.1,0,0,0,0,0,210,1476.3,2023-06-25
ENOXARIN 60MG INJ 1S,8,2200,8,2530,0,0,0,0,0,8,2200,2023-12-09
ENTIL 4 INJ ZEE 2ML,560,2032.8,377,2236.28,183,664.29,24-Sep,125,453.75,435,1579.05,2022-09-17
ENTIL SYP ZEE 30ML,1293,12800.7,1098,18454.84,195,1930.5,24-Aug,142,1405.8,1151,11394.9,2023-01-20
ENTIL-4 MD TAB 10S,1974,13028.4,1731,46504,243,1603.8,24-Aug,222,1465.2,1752,11563.2,2022-02-03
ENTIL-4 TAB ZEE 10S,2,13.2,2,17.96,0,0,0,2,13.2,0,0,2022-11-25
ENTRY BLADE 1S,50,1200,50,2500,0,0,0,0,0,50,1200,2023-04-12
ENZAMIDE-80MG TAB 14S,2,16428.58,2,0,0,0,0,0,0,2,16428.58,2022-05-23
ENZAR 10000 CAP 10S,4,753.84,4,895.74,0,0,0,0,0,4,753.84,2022-01-30
ENZELO 10000MG 10S,0,0,0,0,0,0,0,0,0,0,0,2022-08-29
ENZIOVASTIN 20TAB(AL) 10S,2,16.38,2,218.4,0,0,0,2,16.38,0,0,2023-09-19
ENZIOVASTIN 40 10S,43,609.74,43,0,0,0,0,43,609.74,0,0,2022-01-04
ENZIOVASTIN-80TAB(AL) 10S,20,577.6,20,6588,0,0,0,20,577.6,0,0,2022-08-10
EP-MED-5MG TAB 10S,3218,9493.1,2688,9262.5,530,1563.5,23-Aug,17,50.15,3201,9442.95,2023-07-01
EPASOUR 40MG TAB 10S,241,2518.45,241,3020.57,0,0,0,221,2309.45,20,209,2022-02-14
EPASOUR DSR CAPS 10S,200,3700,104,2444,96,1776,24-Jun,0,0,200,3700,2022-01-07
EPICETAM-INJ 5ML,1540,48510,1389,58310.97,151,4756.5,24-Aug,50,1575,1490,46935,2022-05-02
EPIMYCIN INJ 1ML,859,6657.25,794,7543.89,65,503.75,24-Mar,9,69.75,850,6587.5,2022-08-20
EPIPHEN 30 TAB 10S,2699,46854.64,2277,36786.77,422,7325.92,26-Jan,489,8489.04,2210,38365.6,2023-12-13
EPIPHEN 60 TAB 10S,2605,68667.8,2165,46575.84,440,11598.4,26-Jan,319,8408.84,2286,60258.96,2023-04-14
EPIPHEN-50 TAB 10S,1116,20802.24,1009,22352.72,107,1994.48,24-Apr,345,6430.8,771,14371.44,2023-02-06
EPITAN 30 TAB 10S,240,2068.8,240,1916,0,0,0,0,0,240,2068.8,2022-07-01
EPITAN-60MG TAB 10S,10717,130425.89,10023,173400.75,694,8445.98,23-Nov,250,3042.5,10467,127383.39,2023-02-14
EPLEHEF 25MG TAB 10S,24,3497.04,24,4371.43,0,0,0,0,0,24,3497.04,2023-10-09
EPNIL-200MG TAB 10S,2328,25840.8,2321,33788.36,7,77.7,23-Nov,0,0,2328,25840.8,2022-09-05
EPOSIS -2000 IU 0.5ML,153,21420,126,22977.57,27,3780,23-Nov,21,2940,132,18480,2023-02-19
EPOSIS-10000 INJ 1S,40,23200,33,30484.86,7,4060,23-Apr,10,5800,30,17400,2022-09-04
EPOSIS-4000 I.U PFS 0.4 ML,806,217620,726,238277.29,80,21600,25-Nov,60,16200,746,201420,2022-11-09
EPSOLIN-ER 300MG CAPS 30S,1,154.65,1,193.31,0,0,0,0,0,1,154.65,2023-01-30
EPSOTAL-100MG TAB 100S,72,3213.36,72,4026.5,0,0,0,0,0,72,3213.36,2023-09-02
EPTOIN 100MG TAB 120S,17,2812.82,12,2350.22,5,827.3,25-Jul,0,0,17,2812.82,2022-07-20
EPTOIN INJ 2ML,20,171.8,20,214.64,0,0,0,20,171.8,0,0,2022-03-07
EPTOIN-50 TAB 150S,1,88.8,1,111,0,0,0,0,0,1,88.8,2023-12-01
EPTUS 25MG TAB 15S,2,785.72,2,982.14,0,0,0,0,0,2,785.72,2023-10-23
EQUASOL SOLUTION 500ML,6,732.84,6,975,0,0,0,0,0,6,732.84,2023-07-22
EQUIRAB 1500IU 5ML,3211,819051.31,3203,1311919.73,8,2745.04,23-Jan,220,75488.6,2991,743562.71,2023-01-28
ERITRIC 3T TAB 10S,97,768.24,65,619.85,32,253.44,24-Oct,47,372.24,50,396,2022-09-14
ERITRIC-1MG TAB 10S,20,72.6,20,64,0,0,0,20,72.6,0,0,2022-04-15
ERITRIC-2MG TAB 10S,609,2344.65,599,8840,10,38.5,23-Apr,194,746.9,415,1597.75,2022-11-22
ERITRIC-4 TAB 10S,50,429,0,0,50,429,24-Aug,0,0,50,429,2023-08-28
ERTAFIC INJ 1 VIAL,0,0,0,0,0,0,0,10,8636.4,-10,-8636.4,2022-01-17
ERYTRUST 10000 IU INJ 1S,36,15001.2,27,13101.25,9,3750.3,25-Mar,0,0,36,15001.2,2023-10-28
ERYTRUST INJ 4000IU 0.4ML,192,35078.4,161,38818.15,31,5663.7,25-Nov,10,1827,182,33251.4,2022-04-27
ERYTRUST-2000 IU INJ 0.5ML,34,3197.7,15,2611.5,19,1786.95,23-Nov,10,940.5,24,2257.2,2023-07-03
ESCEROL INJ 40MG,100,3600,10,400,90,3240,24-Aug,0,0,100,3600,2022-08-20
ESCITAPAX 10MG 10S,217,12043.5,144,7423.63,73,4051.5,24-Aug,37,2053.5,180,9990,2023-09-18
ESCITAPAX-20 TAB 10S,40,3689.2,20,2049.6,20,1844.6,24-Sep,0,0,40,3689.2,2023-06-05
ESCITAPAX-5 TAB 10S,80,2290.4,80,2262.96,0,0,0,0,0,80,2290.4,2023-02-28
ESCITAPAX-PLUS TAB 10S,908,75881.56,818,57284.44,90,7521.3,24-Jan,76,6351.32,832,69530.24,2023-08-23
ESCITAPAX-PLUS-L TAB 10S,40,2108.4,0,0,40,2108.4,23-Jul,0,0,40,2108.4,2023-05-12
ESIFLO-250 TRANSCAPS 30S,2,682.86,2,684,0,0,0,0,0,2,682.86,2023-02-25
ESIFLO-500-TRANSAPS 30S,2,745.14,2,931.43,0,0,0,0,0,2,745.14,2022-03-24
ESILOC 40MG TAB 10S,4,234.28,4,234.28,0,0,0,0,0,4,234.28,2022-10-31
ESMOROM-DSR TAB 10S,20,396,1,335,19,376.2,24-Feb,0,0,20,396,2022-10-17
ESOGRESS-D CAPS 10S,2,184.28,2,184.28,0,0,0,0,0,2,184.28,2023-05-24
ESOZ-20 TAB 15S,4,317.12,4,333,0,0,0,0,0,4,317.12,2023-11-22
ESTA-10 TAB 10S,67,3873.27,52,3520.41,15,867.15,25-Sep,7,404.67,60,3468.6,2022-10-01
ESTA-20 TAB 10S,35,3215.45,23,2347.61,12,1102.44,23-Nov,5,459.35,30,2756.1,2022-05-06
ESTA-PLUS TAB 10S,511,41840.68,476,41534.8,35,2865.8,25-Nov,21,1719.48,490,40121.2,2023-07-12
ESTOCIN EYE OINTMENT 5GM,260,16715.4,217,14671.05,43,2764.47,24-Aug,0,0,260,16715.4,2022-07-11
ESTOFOL TAB 28S,9,2162.7,9,2467.05,0,0,0,9,2162.7,0,0,2022-01-28
ESTRABET-2MG TAB 28S,20,7830,20,8200,0,0,0,0,0,20,7830,2022-06-18
ETAPRED 0.5% EYE DROPS 5ML,385,32671.1,300,23784.21,85,7213.1,24-Jan,85,7213.1,300,25458,2022-08-02
ETHANOLSURFACE DISINFEC SPRAY 75ML,8,280,8,960,0,0,0,8,280,0,0,2022-05-29
ETHOSTAT 250MG TAB 10S,1421,14210,1421,61361.2,0,0,0,0,0,1421,14210,2023-05-16
ETHOSTAT 500MG TAB 10S,1040,2080,1039,90001.5,1,2,23-Feb,0,0,1040,2080,2022-05-03
ETHOSTAT-250MG INJ 1S,500,1000,200,0,300,600,23-Jul,0,0,500,1000,2022-12-17
ETHRIN CREAM 30GM,558,9207,497,19647.13,61,1006.5,23-Jun,208,3432,350,5775,2023-03-01
ETHRIN SOAP 75GM,1104,26716.8,878,63057.06,226,5469.2,23-Aug,198,4791.6,906,21925.2,2023-03-01
ETIPAX PLUS TAB 10S,302,17512.98,224,10603.3,78,4523.22,23-Jun,136,7886.64,166,9626.34,2023-12-03
ETIPAX-0.25 TAB 10S,222,4708.62,187,3003.68,35,742.35,24-Jan,103,2184.63,119,2523.99,2023-01-12
ETIPAX-0.5MG TAB 10S,539,20017.83,413,12628.83,126,4859.82,24-Jul,139,5361.23,400,14656.6,2022-10-11
ETOBONE-60MG TAB 10S,100,1000,100,1210,0,0,0,0,0,100,1000,2023-05-23
ETOBONE-90 TAB 10S,70,980,70,1014,0,0,0,10,140,60,840,2022-03-30
ETOGESIC MR 4MG TAB 10S,1,184.43,1,184.74,0,0,0,0,0,1,184.43,2023-11-16
ETOJET-90 TAB 10S,1538,107275.5,1378,93658.75,160,11160,23-Jul,0,0,1538,107275.5,2023-09-05
ETOJET-MR TAB 10S,1300,192127,1061,140183.31,239,35321.81,23-Aug,0,0,1300,192127,2022-09-28
ETOJET-XP GEL 30GM,50,6268,32,3952.41,18,2256.48,24-Nov,0,0,50,6268,2023-10-06
ETOLIN-90 10S,22,471.9,22,1482,0,0,0,22,471.9,0,0,2022-05-12
ETONEXT-90 TAB 10S,860,17028,769,37524.97,91,1801.8,25-Jan,206,4078.8,654,12949.2,2022-07-21
ETORICA-90MG TAB 15S,1,175.71,1,219.64,0,0,0,0,0,1,175.71,2022-01-26
ETORINEX-120 TAB 10S,123,3280.41,101,3108.9,22,586.74,24-Jan,53,1413.51,70,1866.9,2023-03-24
